test,date,result,units
Monocytes (Absolute),2016-05-22,0.36,10^3/uL
Na:K Ratio,2016-05-22,36.0,nan
Neutrophils (Absolute),2016-05-22,2.82,10^3/uL
Phosphorus,2016-05-22,5.4,mg/dL
Platelets,2016-05-22,358.0,10^3/uL
Potassium,2016-05-22,4.1,mmol/L
RBC,2016-05-22,5.4,10^6/uL
Sodium,2016-05-22,148.0,mmol/L
Total Bilirubin,2016-05-22,0.1,mg/dL
Total Protein,2016-05-22,7.7,g/dL
Triglycerides,2016-05-22,66.0,mg/dL
WBC,2016-05-22,6.0,10^3/uL
% Basophils,2017-09-05,0.0,%
% Eosinophils,2017-09-05,2.0,%
% Lymphocytes,2017-09-05,31.0,%
% Monocytes,2017-09-05,5.0,%
% Neutrophils,2017-09-05,62.0,%
ALP,2017-09-05,79.0,U/L
ALT,2017-09-05,82.0,U/L
AST,2017-09-05,55.0,U/L
Albumin,2017-09-05,4.3,g/dL
Amylase,2017-09-05,196.0,U/L
Anion Gap,2017-09-05,23.0,mmol/L
BUN,2017-09-05,17.0,mg/dL
BUN:Creatinine Ratio,2017-09-05,34.0,
Basophils (Absolute),2017-09-05,0.0,10^3/uL
Bilirubin (Conjugated),2017-09-05,0.1,mg/dL
Bilirubin (Unconjugated),2017-09-05,0.0,mg/dL
Calcium,2017-09-05,9.1,mg/dL
Chloride,2017-09-05,114.0,mmol/L
Cholesterol,2017-09-05,125.0,mg/dL
Creatine Kinase,2017-09-05,571.0,U/L
Creatinine,2017-09-05,0.5,mg/dL
Eosinophils (Absolute),2017-09-05,7.000000000000001e-05,10^3/uL
GGT,2017-09-05,79.0,U/L
Globulin,2017-09-05,3.1,g/dL
Glucose,2017-09-05,140.0,mg/dL
Hematocrit,2017-09-05,46.2,%
Hemoglobin,2017-09-05,14.7,g/dL
Lipase,2017-09-05,15.0,U/L
Lymphocytes (Absolute),2017-09-05,0.001085,10^3/uL
MCH,2017-09-05,25.3,pg
MCHC,2017-09-05,31.8,g/dL
MCV,2017-09-05,79.0,fL
Monocytes (Absolute),2017-09-05,0.000175,10^3/uL
Na:K Ratio,2017-09-05,40.0,nan
Neutrophils (Absolute),2017-09-05,0.00217,10^3/uL
Phosphorus,2017-09-05,5.2,mg/dL
Platelets,2017-09-05,0.425,10^3/uL
Potassium,2017-09-05,3.6,mmol/L
RBC,2017-09-05,5.82,10^6/uL
SDMA,2017-09-05,0.004,mg/dL
Sodium,2017-09-05,144.0,mmol/L
TCO2,2017-09-05,11.0,mmol/L
Total Protein,2017-09-05,7.4,g/dL
WBC,2017-09-05,0.0035,10^3/uL
% Basophils,2018-11-07,1.4,%
% Eosinophils,2018-11-07,0.7,%
% Lymphocytes,2018-11-07,43.7,%
% Monocytes,2018-11-07,6.0,%
% Neutrophils,2018-11-07,48.2,%
A:G Ratio,2018-11-07,1.4,
ALP,2018-11-07,72.0,U/L
ALT,2018-11-07,142.0,U/L
AST,2018-11-07,71.0,U/L
Albumin,2018-11-07,4.8,g/dL
Amylase,2018-11-07,216.0,U/L
Anion Gap,2018-11-07,25.0,mmol/L
BUN,2018-11-07,10.0,mg/dL
BUN:Creatinine Ratio,2018-11-07,20.0,
Basophils (Absolute),2018-11-07,8e-05,10^3/uL
Bilirubin (Unconjugated),2018-11-07,0.0,mg/dL
Calcium,2018-11-07,9.2,mg/dL
Chloride,2018-11-07,110.0,mmol/L
Cholesterol,2018-11-07,169.0,mg/dL
Creatine Kinase,2018-11-07,160.0,U/L
Creatinine,2018-11-07,0.5,mg/dL
Eosinophils (Absolute),2018-11-07,4e-05,10^3/uL
GGT,2018-11-07,77.0,U/L
Globulin,2018-11-07,3.4,g/dL
Glucose,2018-11-07,161.0,mg/dL
Hematocrit,2018-11-07,42.8,%
Hemoglobin,2018-11-07,15.0,g/dL
Lipase,2018-11-07,16.0,U/L
Lymphocytes (Absolute),2018-11-07,0.002491,10^3/uL
MCH,2018-11-07,26.1,pg
MCHC,2018-11-07,35.0,g/dL
MCV,2018-11-07,74.0,fL
Monocytes (Absolute),2018-11-07,0.000342,10^3/uL
Na:K Ratio,2018-11-07,35.0,nan
Neutrophils (Absolute),2018-11-07,0.002747,10^3/uL
Phosphorus,2018-11-07,4.7,mg/dL
Platelets,2018-11-07,0.47300000000000003,10^3/uL
Potassium,2018-11-07,4.1,mmol/L
RBC,2018-11-07,5.75,10^6/uL
SDMA,2018-11-07,0.005,mg/dL
Sodium,2018-11-07,143.0,mmol/L
TCO2,2018-11-07,12.0,mmol/L
Total Protein,2018-11-07,8.2,g/dL
WBC,2018-11-07,0.0057,10^3/uL
% Basophils,2019-10-16,0.6,%
% Eosinophils,2019-10-16,0.1,%
% Lymphocytes,2019-10-16,31.5,%
% Monocytes,2019-10-16,4.6,%
% Neutrophils,2019-10-16,63.2,%
A:G Ratio,2019-10-16,1.5,
ALP,2019-10-16,75.0,U/L
ALT,2019-10-16,80.0,U/L
AST,2019-10-16,41.0,U/L
Albumin,2019-10-16,4.8,g/dL
Amylase,2019-10-16,209.0,U/L
Anion Gap,2019-10-16,17.0,mmol/L
BUN,2019-10-16,14.0,mg/dL
BUN:Creatinine Ratio,2019-10-16,28.0,
Basophils (Absolute),2019-10-16,4.2999999999999995e-05,10^3/uL
Bilirubin (Unconjugated),2019-10-16,0.0,mg/dL
Calcium,2019-10-16,9.5,mg/dL
Chloride,2019-10-16,112.0,mmol/L
Cholesterol,2019-10-16,192.0,mg/dL
Creatine Kinase,2019-10-16,407.0,U/L
Creatinine,2019-10-16,0.5,mg/dL
Eosinophils (Absolute),2019-10-16,7e-06,10^3/uL
GGT,2019-10-16,90.0,U/L
Globulin,2019-10-16,3.3,g/dL
Glucose,2019-10-16,102.0,mg/dL
Hematocrit,2019-10-16,40.8,%
Hemoglobin,2019-10-16,14.3,g/dL
Lipase,2019-10-16,20.0,U/L
Lymphocytes (Absolute),2019-10-16,0.002268,10^3/uL
MCH,2019-10-16,25.8,pg
MCHC,2019-10-16,35.0,g/dL
MCV,2019-10-16,74.0,fL
Monocytes (Absolute),2019-10-16,0.000331,10^3/uL
Na:K Ratio,2019-10-16,33.0,nan
Neutrophils (Absolute),2019-10-16,0.00455,10^3/uL
Phosphorus,2019-10-16,3.6,mg/dL
Platelets,2019-10-16,0.40800000000000003,10^3/uL
Potassium,2019-10-16,4.4,mmol/L
RBC,2019-10-16,5.54,10^6/uL
SDMA,2019-10-16,0.005,mg/dL
Sodium,2019-10-16,146.0,mmol/L
TCO2,2019-10-16,21.0,mmol/L
Total Protein,2019-10-16,8.1,g/dL
WBC,2019-10-16,0.007200000000000001,10^3/uL
% Basophils,2021-05-12,1.0,%
% Eosinophils,2021-05-12,1.0,%
% Lymphocytes,2021-05-12,22.0,%
% Monocytes,2021-05-12,10.0,%
% Neutrophils,2021-05-12,66.0,%
A:G Ratio,2021-05-12,1.3,
ALP,2021-05-12,83.0,U/L
ALT,2021-05-12,184.0,U/L
AST,2021-05-12,142.0,U/L
Albumin,2021-05-12,4.7,g/dL
Amylase,2021-05-12,160.0,U/L
Anion Gap,2021-05-12,23.0,mmol/L
BUN,2021-05-12,11.0,mg/dL
BUN:Creatinine Ratio,2021-05-12,18.3,
Basophils (Absolute),2021-05-12,5.5e-05,10^3/uL
Bilirubin (Unconjugated),2021-05-12,0.0,mg/dL
Calcium,2021-05-12,9.7,mg/dL
Chloride,2021-05-12,115.0,mmol/L
Cholesterol,2021-05-12,143.0,mg/dL
Creatine Kinase,2021-05-12,293.0,U/L
Creatinine,2021-05-12,0.6,mg/dL
Eosinophils (Absolute),2021-05-12,5.5e-05,10^3/uL
GGT,2021-05-12,155.0,U/L
Globulin,2021-05-12,3.5,g/dL
Glucose,2021-05-12,131.0,mg/dL
Hematocrit,2021-05-12,43.6,%
Hemoglobin,2021-05-12,15.2,g/dL
Lipase,2021-05-12,26.0,U/L
Lymphocytes (Absolute),2021-05-12,0.00121,10^3/uL
MCH,2021-05-12,25.5,pg
MCHC,2021-05-12,34.9,g/dL
MCV,2021-05-12,73.0,fL
Monocytes (Absolute),2021-05-12,0.00055,10^3/uL
Na:K Ratio,2021-05-12,31.0,nan
Neutrophils (Absolute),2021-05-12,0.00363,10^3/uL
Phosphorus,2021-05-12,4.7,mg/dL
Platelets,2021-05-12,0.448,10^3/uL
Potassium,2021-05-12,4.8,mmol/L
RBC,2021-05-12,5.97,10^6/uL
SDMA,2021-05-12,0.005,mg/dL
Sodium,2021-05-12,147.0,mmol/L
TCO2,2021-05-12,14.0,mmol/L
Total Protein,2021-05-12,8.2,g/dL
WBC,2021-05-12,0.0055,10^3/uL
% Basophils,2021-10-07,0.7,%
% Eosinophils,2021-10-07,0.1,%
% Lymphocytes,2021-10-07,24.1,%
% Monocytes,2021-10-07,6.8,%
% Neutrophils,2021-10-07,68.3,%
Basophils (Absolute),2021-10-07,6.6e-05,10^3/uL
Eosinophils (Absolute),2021-10-07,9e-06,10^3/uL
Glucose,2021-10-07,162.0,mg/dL
Hematocrit,2021-10-07,42.9,%
Hemoglobin,2021-10-07,14.7,g/dL
Lymphocytes (Absolute),2021-10-07,0.002265,10^3/uL
MCH,2021-10-07,26.2,pg
MCHC,2021-10-07,34.3,g/dL
MCV,2021-10-07,76.0,fL
Monocytes (Absolute),2021-10-07,0.000639,10^3/uL
Neutrophils (Absolute),2021-10-07,0.00642,10^3/uL
Platelets,2021-10-07,0.166,10^3/uL
RBC,2021-10-07,5.61,10^6/uL
WBC,2021-10-07,0.0094,10^3/uL
