test,date,result,units
WBC,2024-08-17,0.011800000000000001,10^3/uL
% Basophils,2025-01-17,0.0,%
% Eosinophils,2025-01-17,3.0,%
% Lymphocytes,2025-01-17,49.0,%
% Monocytes,2025-01-17,2.0,%
% Neutrophils,2025-01-17,46.0,%
A:G Ratio,2025-01-17,1.5,
ALP,2025-01-17,97.0,U/L
ALT,2025-01-17,46.0,U/L
AST,2025-01-17,28.0,U/L
Albumin,2025-01-17,4.7,g/dL
Amylase,2025-01-17,158.0,U/L
Anion Gap,2025-01-17,28.0,mmol/L
BUN,2025-01-17,11.0,mg/dL
BUN:Creatinine Ratio,2025-01-17,22.0,
Basophils (Absolute),2025-01-17,0.0,10^3/uL
Bilirubin (Conjugated),2025-01-17,0.1,mg/dL
Bilirubin (Unconjugated),2025-01-17,0.0,mg/dL
Calcium,2025-01-17,9.6,mg/dL
Chloride,2025-01-17,105.0,mmol/L
Cholesterol,2025-01-17,267.0,mg/dL
Creatine Kinase,2025-01-17,383.0,U/L
Creatinine,2025-01-17,0.5,mg/dL
Eosinophils (Absolute),2025-01-17,0.000261,10^3/uL
Fructosamine,2025-01-17,473.0,umol/L
GGT,2025-01-17,56.0,U/L
Globulin,2025-01-17,3.1,g/dL
Glucose,2025-01-17,168.0,mg/dL
Hematocrit,2025-01-17,34.7,%
Hemoglobin,2025-01-17,12.0,g/dL
Lipase,2025-01-17,22.0,U/L
Lymphocytes (Absolute),2025-01-17,0.004263,10^3/uL
MCH,2025-01-17,26.1,pg
MCHC,2025-01-17,34.6,g/dL
MCV,2025-01-17,76.0,fL
Monocytes (Absolute),2025-01-17,0.000174,10^3/uL
Na:K Ratio,2025-01-17,30.0,nan
Neutrophils (Absolute),2025-01-17,0.0040019999999999995,10^3/uL
Phosphorus,2025-01-17,5.0,mg/dL
Platelets,2025-01-17,0.396,10^3/uL
Potassium,2025-01-17,4.8,mmol/L
RBC,2025-01-17,4.59,10^6/uL
SDMA,2025-01-17,0.006,mg/dL
Sodium,2025-01-17,144.0,mmol/L
TCO2,2025-01-17,16.0,mmol/L
Total Protein,2025-01-17,7.8,g/dL
WBC,2025-01-17,0.0087,10^3/uL
